product_name,price (INR),rating,product_page
Beige Ankle Straps Stiletto Heel Sandal,599,3.4 out of 5 stars,amazon.in/Leatherwood1-Maroon-Straps-Stiletto-Sandal/dp/B07NP8Q5R8/ref=sr_1_68?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-68
Women Synthetic Pink Heels,699,3.4 out of 5 stars,amazon.in/Meriggiare-Women-Synthetic-Pink-Heels/dp/B01JLIKFYC/ref=sr_1_69?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-69
Women's Glitter Cut Out Stilettos,799,2.9 out of 5 stars,amazon.in/Catwalk-Stiletto-Sandals-Fashion-3629BX-8/dp/B07J67L564/ref=sr_1_70?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-70
Women's Pointed Toe Back Strap Pumps,898,3.9 out of 5 stars,amazon.in/Catwalk-Womens-Nude-Fashion-Sandals/dp/B07CH1KY8X/ref=sr_1_71?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-71
Women's Daydream Block Sanda Ballet Flats,599,3.7 out of 5 stars,amazon.in/BATA-Womens-Daydream-Flats-4-7616032/dp/B07N6RCJS1/ref=sr_1_72?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-72
Women Casual Slip-on Pumps|Stilletos,"1,800",3.6 out of 5 stars,amazon.in/tresmode-Women-Casual-Stilletos-EURO35/dp/B085HWR9JR/ref=sr_1_73?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-73
Women's Suede HIGH Heels,708,3.9 out of 5 stars,amazon.in/DEEANNE-LONDON-Womens-Suede-Heels/dp/B07H3XXVL6/ref=sr_1_74?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-74
Girl's Fashion Sandal,390,3.9 out of 5 stars,amazon.in/SHOFIEE-Womens-Stylish-Casual-Trendy/dp/B07D5FPP3W/ref=sr_1_75?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-75
Women's Sliver Stiletto Sandals Silver Fashion,599,1.0 out of 5 stars,amazon.in/Catwalk-Stiletto-Sandals-Fashion-3507SS-8/dp/B07J5FW3BP/ref=sr_1_76?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-76
Women's Embellished Strappy Stilettos,799,4.1 out of 5 stars,amazon.in/Catwalk-Stiletto-Sandals-Fashion-3626BX-9/dp/B07J574V6G/ref=sr_1_77?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-77
Women's & Girls' Fashion Sandal,549,3.7 out of 5 stars,amazon.in/SHOE-CRAFT-Womens-Synthetic-Heel-38/dp/B07QX7LCMW/ref=sr_1_78?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-78
Women's Fashion Sandal,395,3.3 out of 5 stars,amazon.in/SHOPIEE-Womens-Stiletto-Ankle-Sandal/dp/B07VY4JBCQ/ref=sr_1_79?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-79
Women's Fashion Sandal,499,3.8 out of 5 stars,amazon.in/TipnToes-Womens-Stiletto-Sandal-Numeric_6/dp/B084MHYB2J/ref=sr_1_80?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-80
Women's Fashion Sandal,499,3.6 out of 5 stars,amazon.in/Leatherwood-Womens-Stiletto-Heels-Color/dp/B07LBXKJBL/ref=sr_1_81?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-81
Women Evening Synthetic Stiletto Heel Pumps,"2,000",3.3 out of 5 stars,amazon.in/tresmode-Evening-Synthetic-Champagn-EURO36/dp/B083R5YFHB/ref=sr_1_82?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-82
Women's Shimmer Slip On Stilettos,688,3.4 out of 5 stars,amazon.in/Catwalk-Womens-Fashion-Sandals-8-3826bx/dp/B07GCZ8RTT/ref=sr_1_83?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-83
Women's Fashion Sandal,468,3.6 out of 5 stars,amazon.in/Digni-Heel-Sandal-Womens-Black/dp/B07Z4XHDLV/ref=sr_1_84?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-84
Women's Fashion Sandal,899.,3.1 out of 5 stars,amazon.in/SHERRIF-SHOES-Sling-Back-Stiletto-Heels/dp/B079L6X4Q3/ref=sr_1_85?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-85
Women's Fashion Sandal,"1,194",3.3 out of 5 stars,amazon.in/Giordano-Women-Stiletto-Colour-Sandal/dp/B07MJXJ2YG/ref=sr_1_86?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-86
Women's Fashion Sandal,399,5.0 out of 5 stars,amazon.in/Ziaula-Womens-Fashion-Wedges-Sandal/dp/B07L6RVPF9/ref=sr_1_87?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-87
Women's & Girls' Fashion Sandal,390,3.7 out of 5 stars,amazon.in/SHOFIEE-Womens-Black-Leather-Wedge/dp/B07GZNGZT2/ref=sr_1_88?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-88
Women's Modern Shoes,499,5.0 out of 5 stars,amazon.in/Feel-Womens-Gold-Block-Heel/dp/B01KP57H8M/ref=sr_1_89?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-89
Women's Fashion Sandal,989.,4 Stars & Up,amazon.in/SHERRIF-SHOES-Low-Heeled-Pumps/dp/B06Y43WVR5/ref=sr_1_90?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-90
Women's Fashion Sandals,649,3 Stars & Up,amazon.in/Khadims-Women-Lifestyle-Stiletto-Sandal/dp/B07XMMQ1HK/ref=sr_1_91?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-91
Women's Bellies,549,2 Stars & Up,amazon.in/TRASE-Captiva-Gun-Metal-Bellies-Women-8/dp/B07MVLZ9TY/ref=sr_1_92?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-92
Women's Fashion Sandal,698,1 Star & Up,amazon.in/MISTO-Womens-Synthetic-Leather-Sandals/dp/B078XG72BL/ref=sr_1_93?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-93
Women's High Heels Black Stilettos-3 Inch Heel,699,,amazon.in/AUTHENTIC-VOGUE-Womens-Heels-Stilettos_41/dp/B071HNDVH5/ref=sr_1_94?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-94
AnShe Girls/Women's Velvet Leather Belly Type Front & 3 inch Pencil Heel Fashion Sandals/Footwears,699,,amazon.in/Womens-Leather-Fashion-Sandals-Footwears/dp/B07HFFXSZ1/ref=sr_1_95?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-95
Heel for Women Green,699,,amazon.in/Do-Bhai-Heel-Women-Green/dp/B08613DFMH/ref=sr_1_96?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-96
Pump Heel Sandal for Women Girls - 3 Inch Heel,499,,amazon.in/Stepee-Pump-Sandal-Women-Girls/dp/B08DYBBKDP/ref=sr_1_97?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-97
Women's Fashion Sandal,499,,amazon.in/Do-Bhai-Fashionable-Stylish-Silver/dp/B01N655CKO/ref=sr_1_98?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-98
Women's Beige Stiletto Heel Sandals,"1,270.",,amazon.in/SHERRIF-SHOES-Womens-Stiletto-Sandals/dp/B0814VHWP3/ref=sr_1_99?dchild=1&keywords=stilleto+heels&qid=1557851935&sr=8-99
